date,day,type,reactions,comments,shares
2011-05-24 09:38:00, 2, link, 156, 12, 0
2011-05-25 01:33:44, 3, photo, 278, 41, 0
2011-05-25 10:06:05, 3, link, 173, 8, 0
2011-05-26 01:23:52, 4, photo, 278, 13, 0
2011-05-26 09:51:51, 4, link, 227, 21, 0
2011-05-27 05:43:35, 5, link, 128, 9, 0
2011-05-28 06:33:24, 6, link, 261, 27, 0
2011-05-29 03:54:09, 7, photo, 439, 74, 0
2011-05-30 09:13:21, 1, link, 134, 14, 0
2011-05-31 01:50:48, 2, photo, 253, 27, 0
2011-06-02 09:37:27, 4, link, 194, 13, 0
2011-06-03 01:48:45, 5, link, 250, 22, 0
2011-06-05 07:21:09, 7, link, 166, 19, 0
2011-06-06 07:33:58, 1, link, 94, 17, 0
2011-06-07 01:55:28, 2, photo, 297, 31, 0
2011-06-09 01:54:41, 4, link, 134, 3, 0
2011-06-13 01:21:55, 1, link, 160, 9, 0
2011-06-14 01:26:43, 2, link, 147, 4, 0
2011-06-14 09:09:20, 2, photo, 405, 26, 0
2011-06-15 01:25:18, 3, link, 182, 5, 0
2011-06-15 07:08:45, 3, video, 291, 31, 0
2011-06-16 03:34:07, 4, link, 296, 23, 0
2011-06-16 23:25:46, 4, photo, 1805, 200, 0
2011-06-17 10:18:00, 5, status, 103, 9, 0
2011-06-20 01:22:44, 1, link, 468, 27, 0
2011-06-20 11:16:32, 1, video, 181, 13, 0
2011-06-21 02:41:26, 2, link, 204, 15, 0
2011-06-21 10:11:47, 2, photo, 430, 29, 0
2011-06-22 05:04:46, 3, photo, 1154, 93, 0
2011-06-23 09:05:38, 4, link, 193, 9, 0
2011-06-24 01:51:49, 5, link, 228, 12, 0
2011-06-24 10:59:30, 5, photo, 190, 10, 0
2011-06-25 03:51:00, 6, status, 221, 19, 0
2011-06-27 05:31:04, 1, video, 236, 15, 0
2011-06-27 14:06:35, 1, video, 127, 6, 0
2011-06-28 02:01:06, 2, photo, 694, 65, 0
2011-06-28 06:09:31, 2, video, 124, 3, 0
2011-06-28 09:56:03, 2, photo, 1513, 105, 0
2011-06-29 01:46:28, 3, video, 160, 4, 0
2011-06-29 08:47:07, 3, photo, 846, 87, 0
2011-06-29 23:35:14, 3, link, 129, 8, 0
2011-06-30 05:52:41, 4, photo, 212, 9, 0
2011-06-30 10:09:33, 4, photo, 500, 34, 0
2011-07-01 01:29:22, 5, video, 386, 32, 0
2011-07-01 06:16:01, 5, video, 142, 0, 0
2011-07-02 04:41:26, 6, question, 0, 0, 0
2011-07-04 01:07:29, 1, video, 135, 4, 0
2011-07-04 07:49:40, 1, video, 121, 7, 0
2011-07-04 10:41:07, 1, photo, 1411, 145, 0
2011-07-05 03:33:07, 2, photo, 1056, 79, 0
2011-07-05 12:14:10, 2, video, 375, 28, 0
2011-07-05 21:52:26, 2, video, 130, 5, 0
