date,day,type,reactions,comments,shares
2012-07-11 08:13:43, 3, photo, 10, 0, 0
2012-07-12 08:00:59, 4, photo, 13, 0, 0
2012-07-12 08:04:49, 4, video, 14, 0, 0
2012-07-12 09:56:58, 4, photo, 42, 2, 0
2012-07-13 07:38:37, 5, link, 2, 0, 0
2012-07-13 07:42:07, 5, photo, 20, 1, 0
2012-07-13 07:42:22, 5, photo, 16, 5, 0
2012-07-13 07:42:31, 5, photo, 3, 0, 0
2012-07-13 12:14:41, 5, video, 6, 0, 0
2012-07-16 06:16:40, 1, status, 0, 0, 0
2012-07-16 08:02:09, 1, photo, 5, 0, 0
2012-07-16 08:02:41, 1, photo, 8, 0, 0
2012-07-17 11:07:16, 2, video, 4, 0, 0
2012-07-18 06:24:26, 3, photo, 37, 1, 0
2012-07-19 10:50:56, 4, photo, 58, 0, 1
2012-07-30 07:44:05, 1, photo, 48, 0, 1
2012-07-30 11:17:26, 1, link, 7, 0, 0
2012-07-31 07:24:34, 2, photo, 39, 0, 0
2012-07-31 07:24:55, 2, photo, 24, 0, 0
2012-07-31 07:25:14, 2, photo, 12, 0, 1
2012-07-31 10:12:31, 2, link, 11, 0, 0
2012-08-01 09:06:34, 3, photo, 14, 0, 0
2012-08-01 09:11:43, 3, photo, 42, 3, 0
2012-08-01 10:06:31, 3, photo, 60, 5, 11
2012-08-01 11:39:53, 3, photo, 243, 40, 21
2012-08-02 07:30:17, 4, photo, 6, 0, 0
2012-08-02 07:31:12, 4, photo, 43, 2, 0
2012-08-02 07:31:36, 4, photo, 21, 0, 0
2012-08-02 07:32:21, 4, photo, 50, 0, 0
2012-08-03 06:31:12, 5, photo, 37, 1, 0
2012-08-03 06:34:52, 5, photo, 26, 1, 0
2012-08-03 06:35:46, 5, video, 14, 0, 1
2012-08-03 06:43:39, 5, status, 0, 0, 0
2012-08-03 07:33:18, 5, photo, 24, 0, 0
2012-08-06 06:31:51, 1, photo, 46, 0, 0
2012-08-06 07:04:19, 1, photo, 47, 0, 0
2012-08-06 07:04:53, 1, photo, 32, 1, 0
2012-08-07 06:28:46, 2, photo, 46, 1, 0
2012-08-07 06:32:09, 2, photo, 17, 1, 0
2012-08-07 06:33:36, 2, photo, 16, 0, 0
2012-08-07 06:36:21, 2, video, 4, 0, 0
2012-08-07 06:53:23, 2, photo, 49, 2, 0
2012-08-07 06:54:06, 2, photo, 24, 1, 0
2012-08-07 08:52:46, 2, photo, 4, 0, 0
2012-08-07 08:52:57, 2, photo, 16, 0, 0
2012-08-07 12:36:02, 2, video, 5, 0, 0
2012-08-08 06:21:26, 3, photo, 37, 6, 0
2012-08-08 06:26:49, 3, photo, 13, 0, 0
2012-08-08 06:27:07, 3, photo, 35, 1, 0
2012-08-08 06:33:30, 3, photo, 37, 0, 0
2012-08-09 05:59:40, 4, photo, 43, 5, 0
2012-08-09 06:01:45, 4, photo, 17, 1, 0
2012-08-09 09:38:39, 4, photo, 33, 2, 0
2012-08-09 09:39:06, 4, photo, 47, 1, 0
2012-08-10 06:21:33, 5, photo, 19, 0, 0
2012-08-10 06:21:48, 5, photo, 35, 1, 0
2012-08-10 09:34:18, 5, photo, 54, 0, 0
2012-08-14 20:21:53, 2, photo, 36, 1, 0
2012-08-14 20:30:02, 2, photo, 39, 5, 0
2012-08-14 20:30:41, 2, photo, 30, 9, 0
2012-08-20 06:12:55, 1, photo, 53, 2, 1
2012-08-20 07:23:03, 1, video, 12, 0, 0
2012-08-20 07:24:07, 1, photo, 46, 1, 0
2012-08-21 07:31:00, 2, photo, 31, 0, 0
2012-08-22 05:49:23, 3, photo, 43, 2, 0
2012-08-22 05:56:01, 3, photo, 22, 0, 0
2012-08-22 08:23:04, 3, photo, 23, 2, 0
2012-08-22 11:07:59, 3, photo, 34, 0, 0
2012-08-22 11:08:50, 3, photo, 18, 1, 0
2012-08-23 06:24:38, 4, photo, 61, 1, 14
2012-08-23 07:03:01, 4, photo, 46, 1, 0
2012-08-23 08:59:40, 4, video, 1, 0, 0
2012-08-23 10:27:26, 4, photo, 36, 0, 0
2012-08-23 10:27:58, 4, photo, 20, 1, 0
2012-08-23 10:28:11, 4, photo, 50, 1, 12
2012-08-23 10:31:10, 4, photo, 14, 0, 0
2012-08-23 10:46:14, 4, photo, 36, 0, 0
2012-08-23 12:20:07, 4, video, 5, 1, 0
2012-08-23 12:57:36, 4, video, 20, 0, 0
2012-08-24 06:48:05, 5, video, 4, 0, 0
2012-08-24 07:11:36, 5, photo, 23, 1, 0
2012-08-24 07:32:58, 5, video, 6, 0, 0
2012-08-24 09:04:15, 5, photo, 71, 2, 0
2012-08-24 10:40:21, 5, photo, 6, 0, 0
2012-08-27 06:09:57, 1, photo, 13, 0, 0
2012-08-27 06:13:11, 1, photo, 17, 0, 0
2012-08-27 08:03:09, 1, photo, 47, 0, 0
2012-08-27 09:12:18, 1, photo, 125, 3, 20
2012-08-27 12:08:32, 1, video, 3, 0, 0
2012-08-27 12:18:49, 1, video, 19, 0, 0
2012-08-28 06:18:19, 2, photo, 109, 1, 16
2012-08-28 08:12:14, 2, photo, 69, 0, 0
2012-08-28 08:12:51, 2, photo, 31, 0, 0
2012-08-28 08:35:24, 2, photo, 33, 1, 0
2012-08-28 09:25:05, 2, video, 9, 0, 0
2012-08-28 10:22:11, 2, photo, 88, 1, 0
2012-08-28 10:22:35, 2, photo, 29, 0, 0
2012-08-28 10:52:18, 2, photo, 49, 0, 0
2012-08-28 11:25:47, 2, video, 7, 0, 0
2012-08-28 12:27:45, 2, photo, 72, 2, 0
2012-08-29 07:24:08, 3, photo, 89, 4, 1
2012-08-29 07:59:33, 3, video, 8, 0, 0
2012-08-29 08:53:51, 3, photo, 57, 0, 0
2012-08-29 10:33:30, 3, video, 23, 1, 0
2012-08-29 10:38:14, 3, photo, 26, 1, 1
2012-08-29 11:52:36, 3, photo, 22, 1, 0
2012-08-30 08:19:04, 4, photo, 31, 0, 0
2012-08-30 08:19:40, 4, photo, 19, 0, 0
2012-08-30 08:20:12, 4, link, 10, 1, 0
2012-08-30 08:20:28, 4, photo, 27, 0, 0
2012-08-30 10:47:02, 4, video, 8, 0, 1
2012-08-31 07:18:42, 5, photo, 67, 1, 1
2012-08-31 08:05:53, 5, photo, 42, 1, 0
2012-08-31 09:25:19, 5, photo, 89, 2, 14
2012-09-03 08:04:58, 1, photo, 41, 0, 0
2012-09-03 10:33:23, 1, photo, 59, 1, 0
2012-09-03 10:51:33, 1, photo, 31, 1, 1
2012-09-04 06:11:31, 2, photo, 44, 2, 0
2012-09-04 06:12:28, 2, photo, 27, 1, 1
2012-09-04 06:16:32, 2, photo, 59, 2, 0
2012-09-04 06:17:04, 2, photo, 44, 1, 0
2012-09-04 07:55:48, 2, photo, 80, 4, 13
