date,day,type,reactions,comments,shares
2011-04-26 11:08:19, 2, photo, 368, 58, 0
2011-04-27 04:52:20, 3, video, 297, 17, 0
2011-04-27 09:38:40, 3, photo, 204, 7, 0
2011-04-28 06:03:18, 4, photo, 321, 22, 0
2011-04-29 05:43:25, 5, photo, 333, 18, 0
2011-05-01 07:07:18, 7, video, 224, 9, 0
2011-05-02 23:38:38, 1, photo, 311, 19, 0
2011-05-03 09:29:13, 2, photo, 273, 27, 0
2011-05-04 13:43:56, 3, link, 0, 0, 0
2011-05-06 10:47:36, 5, link, 216, 30, 0
2011-05-07 11:51:42, 6, link, 378, 27, 0
2011-05-08 06:41:35, 7, link, 240, 21, 0
2011-05-09 12:54:35, 1, photo, 360, 53, 0
2011-05-10 10:49:04, 2, video, 485, 69, 0
2011-05-11 12:25:33, 3, link, 274, 33, 0
2011-05-13 02:36:17, 5, photo, 613, 57, 0
2011-05-14 11:44:35, 6, status, 231, 40, 0
2011-05-15 09:05:25, 7, photo, 444, 95, 0
2011-05-16 13:07:02, 1, photo, 532, 33, 0
2011-05-17 15:00:16, 2, photo, 513, 61, 0
2011-05-18 12:57:31, 3, photo, 551, 50, 0
2011-05-19 09:08:44, 4, link, 203, 5, 0
2011-05-20 01:38:19, 5, photo, 439, 41, 0
2011-05-20 13:13:42, 5, video, 229, 15, 0
2011-05-21 07:56:17, 6, link, 131, 8, 0
2011-05-22 08:06:51, 7, photo, 467, 43, 0
2011-05-23 01:12:00, 1, video, 279, 23, 0
2011-05-23 13:34:50, 1, photo, 376, 38, 0
2011-05-24 10:37:52, 2, photo, 289, 12, 0
2011-05-25 04:08:57, 3, link, 236, 39, 0
2011-05-25 11:40:38, 3, photo, 480, 102, 0
2011-05-26 06:47:16, 4, photo, 449, 43, 0
2011-05-27 06:16:45, 5, link, 231, 10, 0
2011-05-27 13:02:42, 5, photo, 348, 430, 0
2011-05-28 09:21:08, 6, link, 145, 13, 0
2011-05-29 05:20:25, 7, photo, 223, 90, 0
2011-05-30 07:00:23, 1, link, 132, 7, 0
2011-05-30 23:34:52, 1, video, 262, 16, 0
2011-05-31 09:21:48, 2, status, 171, 25, 0
2011-06-01 04:56:03, 3, video, 425, 41, 0
2011-06-02 00:25:37, 4, link, 0, 0, 0
2011-06-02 11:41:16, 4, photo, 502, 42, 0
2011-06-03 09:12:53, 5, photo, 401, 25, 0
2011-06-04 09:37:29, 6, video, 288, 28, 0
2011-06-05 02:15:08, 7, video, 179, 15, 0
2011-06-05 14:54:23, 7, link, 0, 0, 0
2011-06-06 11:38:50, 1, status, 171, 17, 0
2011-06-07 13:00:39, 2, photo, 185, 14, 0
2011-06-08 02:31:49, 3, photo, 184, 15, 0
2011-06-08 13:18:31, 3, status, 133, 9, 0
2011-06-09 01:28:40, 4, photo, 401, 57, 0
2011-06-09 11:21:31, 4, photo, 257, 22, 0
2011-06-10 03:45:59, 5, video, 180, 19, 0
2011-06-10 13:58:07, 5, video, 221, 26, 0
2011-06-11 09:31:25, 6, link, 223, 22, 0
2011-06-12 04:53:22, 7, link, 185, 11, 0
2011-06-13 06:15:59, 1, photo, 907, 134, 0
2011-06-13 13:38:19, 1, photo, 736, 100, 0
2011-06-14 02:35:03, 2, photo, 437, 48, 0
2011-06-14 13:10:22, 2, photo, 793, 101, 0
2011-06-15 09:27:02, 3, photo, 575, 63, 0
2011-06-16 11:06:52, 4, photo, 750, 65, 0
2011-06-17 14:07:28, 5, photo, 422, 41, 0
2011-06-18 13:31:56, 6, photo, 563, 78, 0
2011-06-19 01:12:16, 7, video, 257, 20, 0
2011-06-19 13:19:34, 7, photo, 1071, 136, 0
2011-06-20 06:37:55, 1, video, 188, 10, 0
2011-06-21 02:44:48, 2, video, 228, 12, 0
2011-06-22 06:45:01, 3, video, 132, 4, 0
2011-06-22 12:00:59, 3, link, 127, 15, 0
2011-06-23 05:15:15, 4, link, 166, 10, 0
2011-06-23 11:57:42, 4, photo, 211, 8, 0
2011-06-24 04:46:58, 5, photo, 552, 42, 0
2011-06-24 13:41:59, 5, video, 239, 23, 0
2011-06-25 11:41:54, 6, video, 159, 9, 0
2011-06-26 05:47:46, 7, photo, 509, 21, 0
2011-06-27 02:43:22, 1, photo, 251, 106, 0
2011-06-27 08:25:58, 1, photo, 233, 9, 0
2011-06-27 14:59:35, 1, video, 176, 11, 0
2011-06-28 05:01:31, 2, link, 178, 14, 0
2011-06-28 13:10:59, 2, video, 179, 11, 0
2011-06-29 02:33:41, 3, photo, 531, 27, 0
2011-06-29 12:42:53, 3, video, 277, 27, 0
2011-06-30 02:27:12, 4, link, 346, 17, 0
2011-06-30 15:39:37, 4, video, 261, 25, 0
2011-07-01 07:31:38, 5, video, 429, 25, 0
2011-07-02 04:14:52, 6, link, 347, 20, 0
2011-07-02 14:10:02, 6, video, 358, 17, 0
2011-07-03 01:18:31, 7, photo, 646, 52, 0
2011-07-03 14:35:20, 7, photo, 683, 47, 0
2011-07-04 05:37:44, 1, link, 315, 28, 0
2011-07-04 15:48:30, 1, link, 566, 40, 0
2011-07-05 01:59:19, 2, video, 294, 16, 0
2011-07-05 10:57:36, 2, link, 428, 36, 0
2011-07-06 02:49:57, 3, photo, 1233, 340, 0
2011-07-06 13:14:55, 3, photo, 1418, 95, 0
2011-07-06 16:29:04, 3, photo, 595, 15, 0
2011-07-06 23:39:39, 3, link, 261, 7, 0
2011-07-07 10:39:13, 4, photo, 523, 45, 0
2011-07-08 00:51:46, 5, photo, 928, 55, 0
2011-07-08 14:57:39, 5, photo, 783, 92, 0
2011-07-09 05:25:04, 6, link, 234, 16, 0
2011-07-10 07:22:54, 7, photo, 337, 23, 0
2011-07-11 06:43:04, 1, photo, 975, 69, 0
2011-07-11 11:52:24, 1, photo, 920, 41, 0
2011-07-12 04:15:32, 2, photo, 454, 25, 0
2011-07-12 11:37:47, 2, video, 579, 49, 0
2011-07-13 05:19:01, 3, photo, 587, 32, 0
2011-07-13 14:34:38, 3, photo, 494, 39, 0
2011-07-14 03:56:46, 4, photo, 205, 27, 0
2011-07-14 14:39:12, 4, photo, 250, 34, 0
2011-07-15 05:14:35, 5, photo, 869, 99, 0
2011-07-16 03:53:33, 6, link, 212, 6, 0
2011-07-18 06:14:08, 1, link, 231, 17, 0
2011-07-18 12:22:04, 1, photo, 386, 28, 0
2011-07-19 04:59:06, 2, status, 457, 140, 0
2011-07-19 12:00:47, 2, video, 334, 28, 0
2011-07-20 07:48:44, 3, photo, 1047, 82, 0
2011-07-20 13:47:09, 3, photo, 195, 32, 0
2011-07-21 01:10:21, 4, video, 257, 39, 0
2011-07-21 08:13:34, 4, photo, 338, 13, 0
2011-07-21 13:10:57, 4, photo, 479, 31, 0
2011-07-22 07:22:38, 5, photo, 1021, 74, 0
2011-07-22 11:59:13, 5, photo, 591, 228, 0
2011-07-23 06:15:52, 6, photo, 231, 31, 0
2011-07-23 14:27:30, 6, photo, 227, 12, 0
2011-07-24 04:04:23, 7, photo, 1200, 99, 0
2011-07-25 00:56:39, 1, photo, 322, 11, 0
2011-07-25 08:44:40, 1, link, 202, 12, 0
2011-07-25 14:30:16, 1, photo, 407, 26, 0
2011-07-26 01:55:03, 2, video, 287, 20, 0
2011-07-26 11:59:33, 2, link, 291, 17, 0
2011-07-27 04:17:56, 3, video, 281, 18, 0
2011-07-27 11:57:50, 3, photo, 619, 36, 0
2011-07-28 06:29:01, 4, video, 246, 20, 0
2011-07-28 12:54:10, 4, photo, 557, 44, 0
2011-07-29 09:05:31, 5, photo, 253, 9, 0
2011-07-30 00:28:19, 6, photo, 484, 23, 0
2011-07-30 15:00:03, 6, photo, 234, 6, 0
2011-07-31 01:08:02, 7, link, 161, 21, 0
2011-08-01 04:20:51, 1, photo, 226, 16, 0
2011-08-01 06:34:28, 1, link, 156, 20, 0
2011-08-02 02:11:25, 2, photo, 648, 144, 0
2011-08-02 09:43:02, 2, video, 209, 15, 0
2011-08-03 05:52:34, 3, video, 184, 8, 0
2011-08-03 13:18:16, 3, video, 420, 26, 0
2011-08-04 05:50:51, 4, photo, 1380, 89, 0
2011-08-05 08:58:45, 5, link, 198, 12, 0
2011-08-06 02:28:18, 6, photo, 513, 63, 0
2011-08-06 11:03:44, 6, link, 232, 8, 0
2011-08-07 05:35:10, 7, link, 267, 23, 0
2011-08-08 09:23:51, 1, link, 158, 14, 0
2011-08-08 13:47:46, 1, photo, 719, 69, 0
2011-08-09 08:10:39, 2, video, 251, 18, 0
2011-08-09 12:37:43, 2, video, 245, 7, 0
2011-08-10 07:56:16, 3, link, 297, 10, 0
2011-08-10 13:39:29, 3, photo, 1325, 113, 0
2011-08-11 10:09:17, 4, photo, 734, 50, 0
2011-08-12 05:59:47, 5, photo, 222, 19, 0
2011-08-12 11:18:40, 5, photo, 415, 41, 0
2011-08-13 03:40:41, 6, photo, 1381, 102, 0
2011-08-14 04:48:03, 7, video, 382, 38, 0
2011-08-15 03:15:14, 1, photo, 686, 36, 0
2011-08-16 07:22:22, 2, link, 191, 26, 0
