date,day,type,reactions,comments,shares
2012-12-20 09:00:39, 4, coverphoto, 13, 0, 0
2012-12-21 05:50:34, 5, link, 14, 5, 1
2012-12-21 08:00:00, 5, link, 5, 0, 0
2012-12-21 12:09:09, 5, video, 21, 1, 1
2012-12-21 14:00:01, 5, photo, 17, 3, 0
2013-01-02 15:59:32, 3, photo, 28, 0, 1
2013-01-03 07:47:17, 4, photo, 23, 3, 0
2013-01-09 14:30:30, 3, photo, 32, 11, 1
2013-01-11 07:22:37, 5, photo, 32, 12, 0
2013-01-15 10:23:59, 2, photo, 15, 16, 0
2013-01-16 09:14:19, 3, photo, 18, 5, 0
2013-01-21 08:55:26, 1, photo, 37, 5, 1
2013-01-23 12:02:02, 3, coverphoto, 26, 3, 2
2013-01-23 12:20:22, 3, photo, 130, 27, 20
2013-01-25 11:52:54, 5, photo, 11, 7, 0
2013-01-28 14:13:51, 1, video, 9, 0, 0
2013-01-28 14:17:01, 1, link, 10, 0, 0
2013-01-29 07:58:04, 2, video, 9, 0, 0
2013-01-30 15:12:55, 3, photo, 16, 3, 1
2013-02-05 13:48:49, 2, status, 14, 15, 0
2013-02-13 08:23:50, 3, status, 61, 25, 0
2013-02-13 08:59:06, 3, link, 21, 4, 12
2013-02-14 07:53:44, 4, status, 57, 14, 0
2013-02-14 07:59:32, 4, photo, 47, 3, 0
2013-02-15 07:06:21, 5, photo, 19, 1, 0
2013-02-15 08:37:34, 5, status, 49, 16, 0
2013-02-18 07:13:04, 1, status, 47, 12, 0
2013-02-19 14:20:20, 2, status, 15, 0, 0
2013-02-20 13:59:21, 3, status, 39, 12, 0
2013-02-21 07:09:27, 4, status, 51, 11, 0
2013-02-27 15:35:00, 3, photo, 16, 3, 0
2013-02-28 09:16:30, 4, link, 2, 1, 0
2013-03-05 09:58:14, 2, photo, 20, 3, 1
2013-03-05 14:01:22, 2, link, 11, 3, 0
2013-03-05 14:10:56, 2, status, 21, 10, 0
2013-03-06 08:11:25, 3, photo, 9, 1, 0
2013-03-06 13:19:31, 3, status, 61, 15, 0
2013-03-12 08:15:44, 2, photo, 20, 1, 0
2013-03-16 13:38:46, 6, status, 52, 14, 0
2013-03-20 08:20:02, 3, status, 4, 11, 0
2013-03-20 08:43:24, 3, photo, 20, 2, 0
2013-03-26 08:25:51, 2, link, 8, 0, 0
2013-03-26 08:45:04, 2, photo, 33, 8, 1
2013-03-27 12:20:15, 3, link, 4, 0, 0
2013-03-27 13:47:32, 3, link, 4, 1, 0
2013-03-28 10:45:42, 4, photo, 26, 2, 2
2013-03-28 13:51:13, 4, photo, 29, 1, 0
2013-03-30 14:09:25, 6, status, 45, 17, 0
2013-04-04 09:11:17, 4, photo, 25, 6, 1
2013-04-04 09:55:10, 4, photo, 12, 0, 1
