,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
38,2010-08-17,7093,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5143,289,0
39,2010-08-19,6526,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11338,1130,0
40,2010-08-20,6057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9297,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2010-08-23,6189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5030,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2010-08-25,6780,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7058,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2010-08-27,4565,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6345,1004,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2010-08-30,7228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7083,302,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2010-08-31,6997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7778,526,0
46,2010-09-01,6964,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3673,227,0
47,2010-09-03,6181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4717,233,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2010-09-06,5665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3418,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2010-09-08,5679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5806,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2010-09-10,8202,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3121,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2010-09-15,10669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7057,1652,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2010-09-17,6111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6385,328,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2010-09-20,6737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18520,1531,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2010-09-22,9408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14954,1027,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2010-09-24,19695,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1989,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2010-09-27,18972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3300,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2010-09-28,18735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7705,539,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2010-10-01,19653,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3426,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2010-10-02,19473,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12499,596,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2010-10-04,18786,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5510,247,0
61,2010-10-05,24176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9839,445,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2010-10-07,29026,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7241,319,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2010-10-08,26760,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2854,164,0
64,2010-10-11,25802,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11037,571,0
65,2010-10-15,32314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6378,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2010-10-19,23837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10558,472,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2010-10-21,18302,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8643,507,0
68,2010-10-22,18467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11340,1340,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2010-10-26,24923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9697,456,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2010-10-27,27265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8429,421,0
71,2010-11-02,25212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13879,940,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2010-11-03,26919,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7850,535,0
73,2010-11-05,21535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13262,717,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2010-11-10,22236,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5959,260,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2010-11-11,40847,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4135,165,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2010-11-12,33895,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4449,318,0
77,2010-11-15,51095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6575,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2010-11-16,56303,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7972,434,0
79,2010-11-17,68320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10971,918,0
80,2010-11-18,31911,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14127,840,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2010-11-22,34853,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7283,429,0
82,2010-11-25,23143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7964,510,0
83,2010-11-26,20600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9249,561,0
