,date, change,weekend, coverphoto, event, link, photo, question, status, swf, video,coverphoto_reactions,coverphoto_comments,coverphoto_shares,event_reactions,event_comments,event_shares,link_reactions,link_comments,link_shares,photo_reactions,photo_comments,photo_shares,question_reactions,question_comments,question_shares,status_reactions,status_comments,status_shares,swf_reactions,swf_comments,swf_shares,video_reactions,video_comments,video_shares
38,2010-08-25,1586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3825,294,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2010-08-29,2360,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1792,156,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2010-09-01,2661,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2010-09-03,2382,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,150,0,0,0,0,0,0,0
42,2010-09-05,2610,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1205,117,0,0,0,0,1914,505,0,0,0,0,0,0,0
43,2010-09-06,2464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,157,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2010-09-07,2406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,220,0,0,0,0,0,0,0
45,2010-09-08,2496,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254,115,0,0,0,0,0,0,0
46,2010-09-10,3231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,845,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2010-09-12,8598,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,199,0
48,2010-09-14,3908,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,219,0,0,0,0,0,0,0
49,2010-09-15,3515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,157,0,0,0,0,0,0,0
50,2010-09-16,3582,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1293,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2010-09-17,1972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4178,440,0
52,2010-09-20,2652,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1171,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2010-09-22,3862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2375,256,0
54,2010-09-29,8456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2131,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2010-09-30,8983,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3613,284,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2010-10-01,10043,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2703,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2010-10-04,10877,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874,170,0,0,0,0,0,0,0
58,2010-10-05,9596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2907,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2010-10-07,12548,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2052,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2010-10-09,15225,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236,181,0
61,2010-10-13,17263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3216,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2010-10-15,16156,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4336,381,0
63,2010-10-16,17029,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1673,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2010-10-17,16438,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1752,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2010-10-18,15216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1514,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2010-10-21,12070,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4570,311,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2010-10-24,15425,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3449,291,0,0,0,0,0,0,0
68,2010-10-27,12974,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2197,190,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2010-10-29,18686,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2375,98,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2010-10-31,18863,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5106,402,0
71,2010-11-01,17302,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,84,0
72,2010-11-03,16369,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4953,417,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2010-11-04,16349,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1923,111,0,0,0,0,0,0,0
74,2010-11-05,15940,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1816,84,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2010-11-07,17813,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2994,169,0
76,2010-11-09,14206,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4988,264,0,0,0,0,0,0,0,0,0,0,0,0,0
